Resultados de la Correspondencia Asociativa por Conjuntos con Reemplazo Aleatorio
Direccion del bloque de memoria accedido	¿Acierto o fallo?	Conjunto	Contenido de las vias del conjunto de cache despues
48												F					0					48  96  0  72  
4												F					4					4  28  36  92  
70												F					6					86  30  70  54  
85												A					5					45  85  77  93  
97												F					1					89  73  57  97  
5												F					5					45  85  5  93  
67												F					3					35  43  59  67  
41												F					1					89  41  57  97  
37												F					5					45  37  5  93  
46												F					6					86  30  70  46  
31												F					7					87  47  23  31  
Siendo un total de 9 aciertos
Siendo un total de 66 fallos


Resultados de la Correspondencia Asociativa por Conjuntos con Reemplazo LRU
Direccion del bloque de memoria accedido	¿Acierto o fallo?	Conjunto	Contenido de las vias del conjunto de cache despues
61												F					5					61  -  -  -  
14												F					6					14  -  -  -  
76												F					4					76  -  -  -  
74												F					2					74  -  -  -  
24												F					0					24  -  -  -  
97												F					1					97  -  -  -  
10												F					2					74  10  -  -  
33												F					1					97  33  -  -  
70												F					6					14  70  -  -  
22												F					6					14  70  22  -  
68												F					4					76  68  -  -  
97												A					1					97  33  -  -  
35												F					3					35  -  -  -  
85												F					5					61  85  -  -  
6												F					6					14  70  22  6  
22												A					6					14  70  22  6  
87												F					7					87  -  -  -  
47												F					7					87  47  -  -  
69												F					5					61  85  69  -  
40												F					0					24  40  -  -  
43												F					3					35  43  -  -  
57												F					1					97  33  57  -  
0												F					0					24  40  0  -  
9												F					1					97  33  57  9  
35												A					3					35  43  -  -  
44												F					4					76  68  44  -  
50												F					2					74  10  50  -  
93												F					5					61  85  69  93  
45												F					5					45  85  69  93  
92												F					4					76  68  44  92  
52												F					4					52  68  44  92  
9												A					1					97  33  57  9  
65												F					1					97  65  57  9  
69												A					5					45  85  69  93  
13												F					5					45  13  69  93  
53												F					5					45  13  69  53  
80												F					0					24  40  0  80  
30												F					6					30  70  22  6  
86												F					6					30  86  22  6  
39												F					7					87  47  39  -  
59												F					3					35  43  59  -  
76												F					4					52  76  44  92  
96												F					0					96  40  0  80  
73												F					1					97  65  73  9  
25												F					1					25  65  73  9  
80												A					0					96  40  0  80  
42												F					2					74  10  50  42  
58												F					2					58  10  50  42  
15												F					7					87  47  39  15  
54												F					6					30  86  22  54  
82												F					2					58  82  50  42  
89												F					1					25  65  73  89  
77												F					5					77  13  69  53  
82												A					2					58  82  50  42  
18												F					2					58  82  18  42  
36												F					4					52  76  36  92  
28												F					4					52  76  36  28  
93												F					5					77  13  93  53  
73												A					1					25  65  73  89  
45												F					5					77  45  93  53  
23												F					7					23  47  39  15  
89												A					1					25  65  73  89  
96												A					0					96  40  0  80  
72												F					0					96  72  0  80  
48												F					0					96  72  48  80  
4												F					4					4  76  36  28  
70												F					6					30  86  70  54  
85												F					5					77  45  93  85  
97												F					1					25  97  73  89  
5												F					5					5  45  93  85  
67												F					3					35  43  59  67  
41												F					1					41  97  73  89  
37												F					5					5  45  37  85  
46												F					6					46  86  70  54  
31												F					7					23  31  39  15  
Siendo un total de 10 aciertos
Siendo un total de 65 fallos


Resultados de la Correspondencia Asociativa por Conjuntos con Reemplazo Aleatorio
Direccion del bloque de memoria accedido	¿Acierto o fallo?	Conjunto	Contenido de las vias del conjunto de cache despues
3												F					3					3  -  -  -  
93												F					5					93  -  -  -  
29												F					5					93  29  -  -  
28												F					4					28  -  -  -  
80												F					0					80  -  -  -  
11												F					3					3  11  -  -  
4												F					4					28  4  -  -  
4												A					4					28  4  -  -  
41												F					1					41  -  -  -  
34												F					2					34  -  -  -  
49												F					1					41  49  -  -  
60												F					4					28  4  60  -  
1												F					1					41  49  1  -  
56												F					0					80  56  -  -  
85												F					5					93  29  85  -  
66												F					2					34  66  -  -  
9												F					1					41  49  1  9  
42												F					2					34  66  42  -  
71												F					7					71  -  -  -  
84												F					4					28  4  60  84  
18												F					2					34  66  42  18  
20												F					4					28  20  60  84  
71												A					7					71  -  -  -  
88												F					0					80  56  88  -  
60												A					4					28  20  60  84  
35												F					3					3  11  35  -  
26												F					2					26  66  42  18  
5												F					5					93  29  85  5  
68												F					4					28  20  60  68  
68												A					4					28  20  60  68  
52												F					4					52  20  60  68  
30												F					6					30  -  -  -  
37												F					5					93  29  37  5  
47												F					7					71  47  -  -  
14												F					6					30  14  -  -  
83												F					3					3  11  35  83  
41												A					1					41  49  1  9  
86												F					6					30  14  86  -  
90												F					2					90  66  42  18  
17												F					1					17  49  1  9  
4												F					4					4  20  60  68  
46												F					6					30  14  86  46  
79												F					7					71  47  79  -  
55												F					7					71  47  79  55  
54												F					6					30  14  54  46  
68												A					4					4  20  60  68  
78												F					6					30  14  78  46  
83												A					3					3  11  35  83  
52												F					4					52  20  60  68  
82												F					2					90  66  82  18  
54												F					6					30  14  78  54  
69												F					5					69  29  37  5  
14												A					6					30  14  78  54  
26												F					2					90  66  26  18  
78												A					6					30  14  78  54  
23												F					7					71  47  23  55  
21												F					5					69  29  21  5  
76												F					4					76  20  60  68  
2												F					2					2  66  26  18  
75												F					3					3  11  35  75  
63												F					7					63  47  23  55  
48												F					0					80  56  88  48  
65												F					1					17  49  1  65  
2												A					2					2  66  26  18  
73												F					1					17  49  1  73  
41												F					1					17  49  1  41  
37												F					5					37  29  21  5  
46												F					6					30  14  78  46  
19												F					3					19  11  35  75  
96												F					0					80  96  88  48  
34												F					2					2  66  34  18  
93												F					5					37  29  21  93  
90												F					2					2  90  34  18  
48												A					0					80  96  88  48  
47												A					7					63  47  23  55  
34												A					2					2  90  34  18  
91												F					3					19  11  35  91  
31												F					7					63  47  23  31  
17												A					1					17  49  1  41  
60												A					4					76  20  60  68  
24												F					0					80  24  88  48  
23												A					7					63  47  23  31  
86												F					6					86  14  78  46  
67												F					3					19  67  35  91  
97												F					1					97  49  1  41  
83												F					3					19  83  35  91  
72												F					0					72  24  88  48  
63												A					7					63  47  23  31  
60												A					4					76  20  60  68  
82												F					2					2  90  34  82  
73												F					1					73  49  1  41  
86												A					6					86  14  78  46  
59												F					3					19  83  59  91  
60												A					4					76  20  60  68  
72												A					0					72  24  88  48  
22												F					6					86  14  22  46  
57												F					1					73  49  1  57  
17												F					1					73  49  17  57  
54												F					6					54  14  22  46  
17												A					1					73  49  17  57  
Siendo un total de 22 aciertos
Siendo un total de 78 fallos


Resultados de la Correspondencia Asociativa por Conjuntos con Reemplazo LRU
Direccion del bloque de memoria accedido	¿Acierto o fallo?	Conjunto	Contenido de las vias del conjunto de cache despues
3												F					3					3  -  -  -  
93												F					5					93  -  -  -  
29												F					5					93  29  -  -  
28												F					4					28  -  -  -  
80												F					0					80  -  -  -  
11												F					3					3  11  -  -  
4												F					4					28  4  -  -  
4												A					4					28  4  -  -  
41												F					1					41  -  -  -  
34												F					2					34  -  -  -  
49												F					1					41  49  -  -  
60												F					4					28  4  60  -  
1												F					1					41  49  1  -  
56												F					0					80  56  -  -  
85												F					5					93  29  85  -  
66												F					2					34  66  -  -  
9												F					1					41  49  1  9  
42												F					2					34  66  42  -  
71												F					7					71  -  -  -  
84												F					4					28  4  60  84  
18												F					2					34  66  42  18  
20												F					4					20  4  60  84  
71												A					7					71  -  -  -  
